City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,progreso,21.2833,-89.6667,28.06,70,36,5.04,MX,1683612591
278,coahuayana de hidalgo,18.7,-103.6583,24.65,77,23,1.46,MX,1683612261
279,sitka,57.0531,-135.33,6.16,84,48,0.45,US,1683612191
280,padang,-0.9492,100.3543,32.03,59,64,3.06,ID,1683612712
281,nemuro,43.3236,145.575,7.26,84,2,9.77,JP,1683612206
282,selcuk,37.9514,27.3685,18.93,56,99,1.85,TR,1683612713
283,pelham,33.2857,-86.81,22.45,95,0,1.54,US,1683612713
284,longboat key,27.4125,-82.659,24.0,60,0,2.57,US,1683612413
285,chinde,26.8418,88.0763,28.16,29,1,3.93,NP,1683612713
286,flying fish cove,-10.4217,105.6791,29.82,74,75,5.14,CX,1683612228
287,dzhetygara,52.1908,61.2006,6.56,73,100,4.39,KZ,1683612714
288,wanning,18.8003,110.3967,27.35,88,96,5.74,CN,1683612714
289,lebu,-37.6167,-73.65,10.86,80,100,6.42,CL,1683612157
290,sao tome,0.3365,6.7273,27.88,78,91,2.02,ST,1683612207
291,san bernardo del viento,9.3533,-75.9524,27.18,88,98,3.79,CO,1683612715
292,canto do buriti,-8.11,-42.9444,22.02,67,88,1.48,BR,1683612715
293,nadym,65.5333,72.5167,-3.16,83,31,4.86,RU,1683612715
294,agat village,13.3886,144.6585,31.52,71,20,4.63,GU,1683612716
295,kindia,10.0569,-12.8658,22.11,88,100,0.88,GN,1683612716
296,sapri,40.0751,15.6296,17.76,85,100,0.62,IT,1683612716
297,langtoucun,40.0261,124.3286,23.07,22,4,6.4,CN,1683612716
298,carnarvon,-24.8667,113.6333,24.23,65,51,5.37,AU,1683612010
299,badger,64.8,-147.5333,2.21,96,45,1.3,US,1683612213
300,spring hill,28.4769,-82.5255,22.77,91,0,0.0,US,1683612717
301,kapa'a,22.0752,-159.319,24.18,83,75,7.72,US,1683612264
302,quellon,-43.1167,-73.6167,9.14,93,100,0.0,CL,1683612186
303,lompoc,34.6391,-120.4579,12.66,87,100,7.6,US,1683612255
304,kapoeta,4.7717,33.5903,28.15,55,50,7.43,SS,1683612178
305,as sulayyil,20.4607,45.5779,34.84,11,10,5.06,SA,1683612719
306,bria,6.5423,21.9863,22.61,91,100,1.67,CF,1683612719
307,nabire,-3.3667,135.4833,30.08,71,83,2.41,ID,1683612269
308,hinton,53.4001,-117.5857,7.35,81,100,0.48,CA,1683612278
309,mutuali,-14.8706,37.0044,21.08,66,33,0.7,MZ,1683612720
310,situbondo,-7.7062,114.0098,29.9,72,99,2.04,ID,1683612721
311,baraki,36.6666,3.0961,11.97,87,0,0.0,DZ,1683612721
312,ikom,5.9667,8.7063,24.67,95,87,0.38,NG,1683612721
313,beykonak,36.3257,30.303,20.55,62,66,1.4,TR,1683612722
314,coquimbo,-29.9533,-71.3436,9.85,100,75,1.03,CL,1683612039
315,christchurch,-43.5333,172.6333,16.29,76,100,3.6,NZ,1683612008
316,sinabang,2.4803,96.3801,28.46,72,100,1.73,ID,1683612722
317,torghay,49.6339,63.4981,20.43,42,100,5.4,KZ,1683612722
318,usogorsk,63.4106,48.6872,6.81,66,100,4.34,RU,1683612298
319,manta,-0.95,-80.7333,25.98,88,54,2.83,EC,1683612723
320,bereeda,11.8704,51.0579,29.43,55,100,1.45,SO,1683612235
321,nova sintra,14.8667,-24.7167,20.23,78,0,6.24,CV,1683612219
322,yangambi,0.8102,24.4336,21.87,99,100,0.93,CD,1683612723
323,whakatane,-37.9585,176.9854,19.73,99,99,4.47,NZ,1683612723
324,kruisfontein,-34.0033,24.7314,14.41,68,21,2.21,ZA,1683612186
325,lindsay,36.203,-119.0882,16.67,60,5,1.23,US,1683612724
